AGE,FEMALE,MALE,YEAR
0,100000,100000,1925
1,90769.3,87732.5,1926
2,89339.9,86143.8,1927
3,88753.9,85529.5,1928
4,88335.1,85090,1929
5,87990.6,84740.6,1930
6,87781,84506,1931
7,87612.2,84309.1,1932
8,87485.4,84156.7,1933
9,87386.1,84019.9,1934
10,87283,83895.8,1935
11,87174.7,83775,1936
12,87085.2,83658.2,1937
13,86975.2,83535.2,1938
14,86873.2,83418,1939
15,86767.3,83296.7,1940
16,86662.7,83164.6,1941
17,86546.4,83024.2,1942
18,86416.2,82846.6,1943
19,86284.3,82645.8,1944
20,86145.4,82466.8,1945
21,86006.7,82289.1,1946
22,85864.5,82112.1,1947
23,85743,81949.4,1948
24,85626.4,81772.1,1949
25,85531.6,81627.3,1950
26,85429.2,81482.2,1951
27,85332.4,81338.8,1952
28,85246,81200.3,1953
29,85157.5,81081.7,1954
30,85093.5,80937.8,1955
31,85007.6,80798.1,1956
32,84944.4,80666.8,1957
33,84845.4,80531.4,1958
34,84748.2,80394.8,1959
35,84661.7,80249.2,1960
36,84566.5,80091.6,1961
37,84454,79930.4,1962
38,84341.9,79745,1963
39,84229.2,79566.5,1964
40,84110.8,79371.4,1965
41,83980.4,79168.4,1966
42,83830.6,78882.4,1967
43,83677.9,78617.1,1968
44,83496.4,78323.5,1969
45,83289.4,78007.9,1970
46,83069.1,77645.8,1971
47,82819.4,77231.9,1972
48,82573.9,76782.9,1973
49,82300.3,76297.8,1974
50,81972.4,75800.8,1975
51,81670.8,75252.5,1976
52,81336.7,74642.5,1977
53,80976.6,73999.5,1978
54,80566.6,73315.8,1979
55,80146,72575.8,1980
56,79782.5,71811.1,1981
57,79314.1,70995.3,1982
58,78828.8,70149.6,1983
59,78331.5,69258.5,1984
60,77793.9,68291.3,1985
61,77206.3,67256.4,1986
62,76571.9,66177.8,1987
63,75891.5,65033.8,1988
64,75159.9,63814.6,1989
65,74436.6,62570.4,1990
66,73663.2,61234.1,1991
67,72778.6,59805.1,1992
68,71866.7,58347.9,1993
69,70888.4,56805.7,1994
70,69808.2,55155.4,1995
71,68635.2,53424,1996
72,67394.4,51633.6,1997
73,66088.3,49792.7,1998
74,64659,47960.6,1999
75,63115.5,46016.5,2000
76,61580,44104.2,2001
77,59824.9,42080.6,2002
78,58030.9,39972.4,2003
79,56014.2,37837.4,2004
80,53993.8,35644.6,2005
81,51862.6,33482,2006
82,49653.5,31278.9,2007
83,47191.8,28961,2008
84,44667,26541.6,2009
85,42021.1,24182.8,2010